India_EB1,India_EB2,India_EB3,Date,China_EB1,China_EB2,China_EB3
0,0,0,10/1/91,0,0,0
0,21,0,11/1/91,0,0,0
0,17,0,12/1/91,0,0,0
0,15,0,1/1/92,0,0,0
0,11,0,2/1/92,0,0,0
0,0,0,3/1/92,0,0,0
0,0,0,4/1/92,0,0,0
0,0,0,5/1/92,0,0,0
0,0,0,6/1/92,0,25,0
0,16,0,7/1/92,0,26,41
0,26,0,8/1/92,0,22,42
0,27,27,9/1/92,0,23,39
0,17,18,10/1/92,0,19,18
0,17,19,11/1/92,0,19,19
0,16,18,12/1/92,0,18,19
0,16,17,1/1/93,0,17,20
0,14,17,2/1/93,0,17,20
0,12,16,3/1/93,0,18,21
0,8,13,4/1/93,0,19,21
0,0,14,5/1/93,0,19,21
0,0,0,6/1/93,0,16,21
0,0,0,7/1/93,0,8,21
0,0,0,8/1/93,0,0,0
0,0,0,9/1/93,0,0,0
0,0,15,10/1/93,0,10,3
0,0,14,11/1/93,0,21,4
0,0,11,12/1/93,0,13,5
0,0,10,1/1/94,0,12,6
0,0,8,2/1/94,0,7,7
0,0,0,3/1/94,0,0,8
0,0,0,4/1/94,0,0,9
0,0,0,5/1/94,0,0,10
0,0,0,6/1/94,0,0,11
0,0,0,7/1/94,0,0,12
0,0,0,8/1/94,0,0,13
0,0,0,9/1/94,0,0,14
0,0,0,10/1/94,0,0,15
0,0,0,11/1/94,0,0,16
0,0,0,12/1/94,0,0,17
0,0,0,1/1/95,0,0,18
0,0,0,2/1/95,0,0,19
0,0,0,3/1/95,0,0,20
0,0,0,4/1/95,0,0,21
0,0,0,5/1/95,0,0,22
0,0,0,6/1/95,0,0,23
0,0,0,7/1/95,0,0,24
0,0,0,8/1/95,0,0,21
0,0,0,9/1/95,0,0,0
0,0,0,10/1/95,0,0,0
0,0,0,11/1/95,0,0,0
0,0,0,12/1/95,0,0,0
0,0,0,1/1/96,0,0,0
0,0,0,2/1/96,0,0,0
0,0,0,3/1/96,0,0,0
0,0,0,4/1/96,0,0,0
0,0,0,5/1/96,0,0,0
0,0,0,6/1/96,0,0,0
0,0,0,7/1/96,0,0,0
0,0,0,8/1/96,0,0,0
0,0,0,9/1/96,0,0,0
0,26,33,10/1/96,0,0,0
0,24,33,11/1/96,0,0,0
0,19,33,12/1/96,0,0,0
0,18,30,1/1/97,0,0,0
0,15,29,2/1/97,0,0,0
0,12,28,3/1/97,0,0,0
0,0,26,4/1/97,0,0,0
0,0,25,5/1/97,0,0,0
0,0,24,6/1/97,0,0,0
0,0,25,7/1/97,0,0,0
0,0,24,8/1/97,0,0,0
0,0,21,9/1/97,0,0,0
0,22,22,10/1/97,0,0,0
0,23,35,11/1/97,0,0,0
0,24,36,12/1/97,11,26,49
0,20,35,1/1/98,9,22,49
0,20,34,2/1/98,9,22,49
